,Tweets,tag
42,"Of the 32 sides at Russia 2018  over 9% of players were born outside of the country they represented in qualifying… https://t.co/pYkxvioi0u
RT @GMFF18: Remember your roots. https://t.co/bYG9nZ7xK4
The @FIFAWorldCup kicks of tomorrow! What's the percentage of international footballers who play outside their country of origin?
RT @UNmigration: .@SpursOfficial's winger Son Heung-min has become the most expensive Korean player in history &amp; the top Asian goalscorer i…
RT @UNmigration: How many times has @Cristiano won the Ballon d'Or?
RT @UNmigration: Known for his generosity off the field  @Cristiano is one of the world's most beloved soccer players: https://t.co/TQT9rTP…
RT @UNmigration: Ahmed would have never imagined that one day he'd be cheering for England at Wembley. Yet  it happened: 
#TogetherThrough…
RT @GMFF18: Do you produce films about migration and want to be part of our Global Migration Film Festival?  📹
Submit your video here:  ht…
Belgian footballer Vincent Kompany has been playing for English side Manchester City since 2008. In his first seaso… https://t.co/L8Mek2g1kc
AS Roma player Radja Nainggolan is an ambassador for the sports and social cohesion project City Pirates Antwerp. T… https://t.co/HerEet8coH
“Hundreds of YouTubers have told the stories of how they arrived in their host country  using clever videos. These… https://t.co/NBXIJD2fLU
RT @nhungtrandavies: So nice to have the opportunity to speak to a grade 7 class today about my journey as a refugee and immigrant to Canad…
55% of international footballers  too! #TogetherThroughSport https://t.co/VUQAhwBKe1
Liverpool forward @MoSalah is the Egyptian King"". He is the only player ever to receive the Premier League Player… https://t.co/L9a12FdUO7",other
43,"I can't go back to the country that I left because of the conflict. Everybody wants to leave the country and to fi… https://t.co/ZqaPxCsKix
RT @Pluralplus: THANK YOU to all the young filmmakers 🎥&amp; storytellers📝all around the🌏 who send their 🎞️ on #migration  #diversity  #sociali…
Lorik Cana  former captain of the Albanian national team  played professional football in France  England  Italy an… https://t.co/haSh7n3KiJ
RT @IOMROWCA: Fatou is a proud #migrant! 
Read her story: https://t.co/c0G9iLWPFy
#iamamigrant https://t.co/HJdJoyrgs9
Submit your video here: htt…
Due to the war and the crisis which happened in Darfur... I didn’t know whether I’d be able to play football again… https://t.co/GV35htY70i",other
44,RT @UNmigration: The large-scale migration of people within #Africa tends to lift the continent’s whole economy  a new @UN report says: htt…,other
45,"Human beings are so much more alike in our emotions and experiences than our differences in appearance  skin color… https://t.co/eqzJWONdWE
Romans started to walk around the city and see musicians at almost every corner... people realized that music had… https://t.co/YjlMtBCcds",other
46,RT @Pluralplus: 🚨Last days to submit your #youth directed video discussing #migration  #diversity and #socialinclusion. Deadline = June 3.…,other
47,RT @UNFPA: No woman—including migrants and refugees—should ever be denied the right to #SafeBirth. RT if you agree.,other
48,See why #migration is…,other
49,The deadline is fast approaching to submit your work to the Plural + Youth Video Festival on Migration. Details bel… https://t.co/smcaShOrUj,other
50,RT @UNmigration: Fact: 1 in 30 people is an international migrant.   ,other
51,Learn more at https://t.co/yzps2WkZ5e https://t.co/G7Of3pAceU,other
52,RT @IOMROWCA: Start your week with @KinaataGh's single promoting safe #migration. ,other
53,If you must migrate  migrate safely,other
54,Listen to 'No Pl…,other
55,RT @tcraigmurphy: @iamamigrant Hero climbs up outside of Paris building to save child dangling from balcony https://t.co/Um7X6TdOHe,other
56,RT @UNmigration: .@unfpa lists 5 reasons why #migration is a feminist issue:,other
57,1 Women are increasingly migrating alone ,other
58,2 Women face major…,other
59,@OASFCU @UNmigration If you're referring to the Global Migration Film Festival  the submission deadline is June 21s… https://t.co/yn0IJbUdyR,other
60,"RT @Pluralplus: ""How do you look me in the eyes",other
61,with skin as black as mine,other
62,"and deny me as your brother""#AfricaDay",other
63,#Singabantu-We are Human…,other
64,RT @Pluralplus: PLURAL+2017 @iamamigrant award winning video #Singabantu - We Are Human has been seen by more than 1 Million people worldwi…,other
65,RT @UNmigration: Children.,other
66,Women.,other
67,Men.,other
68,Thousands of migrants have died trying to cross the US-Mexico border illegally. https://t.co/PFZiUq…,other
69,I must have been crazy to leave  but once you reach a point of no return  you go anyway. — Mohammad. Read his… https://t.co/LUAC9YOEAB,other
70,"RT @USAforIOM: ""No one chooses to leave their country  but circumstance sometimes makes its own rules."" --Abdalwahab ",other
71,https://t.co/xEj83LK…,other
72,Tavish left his native Sri Lanka in 1992. His journey hasn't always been easy. Now in his early fifties  he sometim… https://t.co/xNQU3h5DRg,other
73,I love the Netherlands  but I always said that if possible I would return to Gambia. — Mawdo  a journalist who fl… https://t.co/cmippN3s1y,other
74,Dans cette voiture on était assis les uns sur les autres  entassés comme de sardines.,other
75,L'histoire de Kouamé  qui a… https://t.co/A0mfxKA0tV,other
76,"I also find Estonia very liberating. People respect their own freedom and privacy and expect the same from others.… https://t.co/WjWdICzfMO
RT @UNmigration: Did you know that approximately 1 in every 30 people in the world is an international #migrant? https://t.co/EhLadm2vIs
RT @GMFF18: Last week to submit your video via @PluralPlus! https://t.co/2afuRZJcYL https://t.co/yS3OY5rYft
“After what I experienced in Libya  I think there is a little bit of me that died.”
Read Ahmed's #migration story:… https://t.co/PdHUPQ6wH0
RT @UNmigration: Mohammad 🇮🇷
Tavish 🇱🇰
Mawdo 🇬🇲
Garin 🇮🇩
Santosio 🇮🇩
Moussa 🇬🇳
6 migrants  6 stories of return. 
Learn more about Back a…",other
77,RT @GMFF18: 🎶 Immigrants we get the job done 🎶 https://t.co/4df2zGNQwo,other
78,"When I was in jail  I was thinking about our life back home. Even if we didn't have much  we were happy and could… https://t.co/GWZX2mSBKG
RT @CarmelaGodeau: This Ramadan  we hope for the safe return of every person displaced because of war or natural disasters to their home. W…
José Valladares: un migrante del fútbol. #TogetherThroughSport https://t.co/XU8ve0ufZw
Many do not make it. The numbers that die in the Djiboutian desert are unknown but there are enough unburied dead… https://t.co/OpWh8Sn9rH",other
79,I did not find true happiness until I left Russia and met the most surprising person ever  by accident.,other
80,Love  luc… https://t.co/RddgvKYh0F,other
81,RT @GMFF18: Are you a young film maker and passionate about migration  diversity and social inclusion? ,other
82,Submit your  video here  ➡️ https:…,other
83,RT @TheEconomist: Migrants from the EU into Britain are more likely to be paying taxes than claiming benefits. So why do some people think…,other
84,"The political situation in my country has changed and stabilized. There is no war and I can tell you from the bott… https://t.co/iuhnjSIwmC
“I didn’t have any identity. I was a citizen of nowhere.” Read Damber's story:
Akron's Police Force Welcomes its Fi… https://t.co/XY01zXyZ8G
RT @IOMGermany: Auf der Bühne hält mich das Publikum für eine gebildete Auswandererin. Doch wenn ich im Bus sitze  sehen mich alle nur als…",other
85,Vladimir Petković: the #migrant who struggled his way to the top of Swiss football,other
86,#togetherthroughsport,other
87,https://t.co/QjuDMpOqc9,other
88,"RT @OIMChile: ""Deporte puede ser herramienta para facilitar integración y construir vínculos entre comunidades  jugadores y fieles fans"" Si…",other
89,RT @GMFF18: Do you produce films about #migration and want to be part of our Global Migration Film Festival?  📹,other
90,Submit your video here:  h…,other
91,"I have loved the multicultural aspect of living in a vibrant environment where everyone has a different background… https://t.co/4ZerJY5i2H
RT @USAforIOM: “Architects  along with other experts  need to work in a coordinated fashion to respond to migration issues.” https://t.co/k…
RT @NewToTheParish: “Running your own business is very hard  you have to sacrifice so much. But now I’m going to make my own factory and in…
Mo Salah started his professional career at 17. Here's a great story from the Guardian that looks at his rise and g… https://t.co/scg7hqCBtm
RT @UNAOC: Are you passionate about #migration  #diversity  and social #inclusion? Share your short video with @PluralPlus and let your voi…
The @FIFAWorldCup kicks off in just over a month! 
Follow our #TogetherThroughSport campaign for stories about the… https://t.co/FcsXa2I9BA
Sport can be a powerful tool for facilitating integration and building links within communities  amongst players a… https://t.co/B71Uj76y3x",other
92,"As Finnish as I have become over the years  I still have an immigrant and refugee background. Therefore  I feel th… https://t.co/Lct6XBMc8d
Many footballers  Oscar nominees and Nobel laureates are migrants. It’s time to overturn stereotypes about… https://t.co/zTylmTSqHr",other
93,From washing dishes to Qantas executive  read Jamila's compelling #migration story: https://t.co/etNy9W53gI https://t.co/5SrOX7I6zE,other
94,I just wanted to get away from Asia  to find a safe place. Ostadazimi is an Afghan artist stranded in Greece.… https://t.co/xZc6YI23D0,other
95,RT @arnocast: Happy to share my story #iamamigrant https://t.co/qmAa3PvUrO https://t.co/rF4M3vDSgo,other
96,After Amir Hadzic fled war and hardship in Bosnia  his love of football got him through hard times. Now he shares t… https://t.co/PhoYw8LP9P,other
97,“Migration gives us an opportunity to reach new goals  develop ourselves as people  and it frees us from prejudices… https://t.co/vpnSWD6xHS,other
98,The Global Migration Film Festival (@GMFF18) Call for Films is open until late June. Click on the link below to sub… https://t.co/UQLhDrJnUT,other
99,"RT @USAforIOM: ""In a truly global economy  sports create a migrant meritocracy few other industries can match "" said @IOMchief William Lacy…",other
100,RT @IOMBeLux: Play the migrant's game with @IOMBeLux &amp;participate in @iamamigrant postcards' workshop at the 'I love Science Festival' in #…,other
101,“I see migration as something very enriching. And my mother came to France as a refugee — if my country hadn’t let… https://t.co/OaY0xaMgTQ,other
102,In a truly global economy  sports create a migrant meritocracy few other industries can match. Read more about th… https://t.co/xVzJuS6Dgy,other
103,Je fais la distinction entre l’endroit où je vis et l’endroit où je me sens chez-moi. — Julia. Lisez son histoire… https://t.co/HxT0o4mQPS,other
104,"RT @UNmigration: ""I feel that I have a big responsibility to be an example to the thousands of young immigrants in #Helsinki."" ",other
105,Read Nasim…,other
106,RT @OIMhonduras: “Lo más bonito que me ha aportado #Honduras es la oportunidad de construir una familia”  dice Maddalen  que salió muy jove…,other
107,#solidaritythroughsport https://t.co/IBJm9FYeu3,other
108,Fans do The Wave at the @UNGeneva x @UEFA #MatchForSolidarity. Team @LuisFigo wins  4-3! https://t.co/K7F509NJFj,other
109,Can you imagine what it would be like to take care of your menstrual health,other
110,without any hygiene items while also fl… https://t.co/1IJcqB004k,other
111,RT @IOMROWCA: When she left Ghana  Monica couldn't imagine that one day she would own a small grocery store in her country. She is now livi…,other
112,Migrant women should NEVER be denied the right to #SafeBirth!,other
113,See why #migration is a feminist issue:… https://t.co/PTvo9pv4KI,other
114,“Here I was at sea once more. I could already see myself in Europe. I really thought we were going to make it this… https://t.co/aZpeDoNeJa,other
115,RT @UNGeneva: This Saturday  Geneva's stadium will play host to a unique ⚽match  promoting peace  human rights &amp; well-being  through the #G…,other
116,RT @GMFF18: .@PatinkinMandy  known for his leading role in 'Homeland'  refers to himself as a 'humanitician': https://t.co/DxAcJ4OwYi,other
117,"My plan was to keep these kids off the streets and re-channel them towards positive things in life. Sport helped p… https://t.co/scuYDJal00
‘Double discrimination’ isn’t a catchphrase  but a harsh reality for migrant
women. See why #migration is a feminis… https://t.co/jdiboaOlun
I understand that migrants need support and a response to their situation.""",other
118,Australia’s National Multicultural Fes… https://t.co/G76VsWM4eh,other
119,No woman should ever have to say #MeToo  including migrant women.,other
120,See why #migration is a feminist issue:… https://t.co/LZiGIXBpch,other
121,RT @IOMROWCA: “I believe there is a reason I came back and from now on I am going to better myself. Now I am entitled to my identity” -Jerr…,other
122,"Since there are not a lot of people in my sector who have a migrant background  I’m challenged to encourage those… https://t.co/zEuAcLG65V
RT @USAforIOM: For a few seconds after the explosion I couldn’t hear anything  I couldn’t see anything. I only saw black dust. Fortunately…",other
123,Mutwakil fled Sudan's civil war. Now in Middlesbrough  he plays with Club Together: a project for refugees and asyl… https://t.co/RMeRbKVp7H,other
124,What does #migration have to do with #feminism? More than you realize!,other
125,Learn more here: https://t.co/gQ8hnwnXWo via… https://t.co/YAbdwyE7U8,other
126,“Life is like soccer  just play it like you mean it and you will succeed.”,other
127,Meet Mohammed and the Somali Stars  a te… https://t.co/47lFAzF5Jn,other
128,RT @GMFF18: Andy Garcia  known for his role in The Godfather III  turns 62 today! 🍰,other
129,Did you know the Garcia family fled Cuba when he was 5…,other
130,RT @UNmigration: Woman.,other
131,Refugee.,other
132,Surgeon.,other
133,Striker.,other
134,Here’s how Nadia Nadim has become the latest big name at #ManCity ⚽ https://t.co/3l1Axd…,other
135,RT @GMFF18: Do you want to be part of our Global Migration Film Festival? 🎬📹,other
136,Submit your entries here: https://t.co/q3zllxOrfm ,other
137,#gmff18 h…,other
138,RT @IOMGREECE: #MigrantRefugeePhotoStory #iamamigrant  “If there was no war in Syria  I would go back to my country”  says Nechirvan living…,other
139,Karim and Yves braved difficult journeys from Cameroon to Spain  in search of better lives. Sport (football and rug… https://t.co/Yh9ZhivnI1,other
140,RT @GMFF18: Are you a young filmmaker and passionate about migration  diversity and social inclusion? ,other
141,Submit your  video here  ➡️ https:/…,other
142,RT @UNmigration: On #IDSDP2018  revisit @IOMchief's op-ed about the unbreakable bond between migration &amp; sport over the ages: https://t.co/…,other
143,You need only yourself to be happy and content  therefore you can be happy under any type of conditions.,other
144,Cecilia… https://t.co/TXX98wnVjE,other
145,RT @ValaAfshar: You did not choose your:,other
146,1 birthplace,other
147,2 skin color,other
148,3 birth parents  family,other
149,4 birth gender,other
150,5 birth language,other
151,6 birth name,other
152,7 e…,other
153,RT @UNmigration: Migrants.,other
154,Returnees.,other
155,Entrepreneurs.,other
156,Here's how Smart created a successful business with 14 returnees + five community mem…,other
157,RT @nowthisnews: This man came to America as an undocumented migrant. Now he's a renowned neurosurgeon https://t.co/ugfD0dCzVb,other
158,I’d like to continue being amazed by new worlds. From Mexico to Morocco  Rwanda and beyond  Alejandro's… https://t.co/JBvUTDrKy3,other
159,"I left in 2015  because I was a mechanical engineering student and my university was bombed several times. I wante… https://t.co/c5QisCmTb2
I believe compassion is the perfect antidote to our fears.""",other
160,Mala co-produced and starred in #NoMonstersInBerlin. S… https://t.co/2Obg3IKiKJ,other
161,#NoMonstersInBerlin is a powerful story of loss  resilience and connection across borders. Co-produced by a team of… https://t.co/1jIEPoUjWo,other
162,“My fellow brothers need to know that this route is one of sacrifice. You don’t know how you will die  but chances… https://t.co/Xv04wI4Igx,other
163,RT @UN: 🎥 Are you a young filmmaker? ,other
164,Submit your short video on migration  social inclusion &amp; diversity to @PluralPlus: https://t.co/mDnM…,other
165,"“There is no work for me in Bangladesh  but here there is."" ",other
166,From Bangladesh to Italy  read Mika's story:… https://t.co/qePwTWQAgH,other
167,"Australia has a ‘fair go’ culture to offer  so everyone has the same opportunities. But I also feel the need to gi… https://t.co/vTCkBSLg9P
#Migrants make the world go around  and I’m lucky to be able to go around it too.” -Judith  a US citizen in Rwanda… https://t.co/O5UeL7HwVS",other
168,"My job is very important because it combats the social stigma of diagnosed patients.” - Ophelia… https://t.co/rQ8v5DpjSy
‘I think for people of color  different race backgrounds  non-white people  this is a moment where we have to asser… https://t.co/m8Kxhc6LMe
When I first went back to Somaliland I was surprised at the culture shock I experienced. I thought that since I wa… https://t.co/tmlhceypbW",other
169,RT @MigrantApp: For most of the #migrants language poses a challenge.,other
170,Though many migrants speak enough English to get by at work  that ma…,other
171,RT @IOMBeLux: ‘I think for people of color  different race backgrounds  non-white people  this is a moment where we have to assert our self…,other
172,RT @IOMBeLux: 'I am a migrant. I’m different but through dialogue  understanding  empathy  respect of each other  we can build peace and fr…,other
173,RT @ajplus: Will Mohamed Salah's soccer stardom help combat Islamophobia? https://t.co/CvtBnmhJOR,other
174,RT @PDSoros: Match Day News: Congrats to #PDSoros Fellow @gmicevic who matched with Yale Internal Medicine and Yale Dermatology! Goran was…,other
175,RT @socialbeings: 🗣Migration Mobility&amp;Marginalisation: Consequences for Sexual&amp;Gender Minorities #LGBT🏳️‍🌈,other
176,To avoid discrimination violenc…,other
177,"We live in a world where the poor are trapped by their poverty  and the rich by their comfort. We live in a world… https://t.co/VbEiXQTjHI
Migrants are often considered a burden in times of crisis such as natural disasters because of language barriers.… https://t.co/HfoGT5CZgb",other
178,"RT @ahmedashai: With @IOM_Libya i had the chance to meet so many inspiring people one of them is ""Liliana"" and her  story of dreams coming…",other
179,RT @IOMGREECE: #iamamigrant “We are waiting for family reunification to Switzerland. Greeks are very good people but we are planning to lea…,other
180,"🇮🇹 ""I like Italy  especially Rome  not so much for the history but for its culture  habits and its people. Life and… https://t.co/88vJuKT9BA",other
181,“I really miss the soft sand from back home and sitting in peace with my family and friends. Syria will always be m… https://t.co/4Gm5OjFJsQ,other
182,"RT @NewToTheParish: ""Women struggle everywhere. It doesn’t matter where you are  Ireland or any other country  there’s still this feeling t…",other
183,RT @NewToTheParish: To mark #InternationalWomensDay2018 we're taking a look back at some of the inspiring women we've featured in the serie…,other
184,RT @NewToTheParish: “I feel like being in Europe and not doing anything is a waste of time. People would die for this opportunity so it’s n…,other
185,"I don't want to define myself either as exclusively African or Italian. I want to show the complexity of diversity… https://t.co/d9j0E9pP5i
RT @JMDI_M4D: “I consider migration as an empowering process for women” – @UN_Women Executive Director @phumzileunwomen #IWD2018
Read her t…
I’m a bit different than others; my happiness really comes from my job."" https://t.co/tpA5MZYOwi https://t.co/17Esu5wgAJ",other
186,“I want to go back to school and get a good job so that I can be independent and take better care of my family”- Gh… https://t.co/AjuiEV7D3L,other
187,I do miss many things from my country: my #family  the comfort of living  and the freedom. https://t.co/dKmfy3yiNE https://t.co/QoKyTtgC7Z,other
188,"RT @alexandrabulat: I am a Romanian PhD student  teaching assistant &amp; researcher. One of @theresa_may's praised ""brightest and the best"" wh…",other
189,When I first came to #Libya in 1996  I could see all the cultural differences. https://t.co/ZLnqznI09P https://t.co/EPbwmOlYKA,other
190,"RT @IOMROWCA: ""You conceive &amp; build up your life in one direction for thirty years &amp; suddenly the war arrives &amp; takes it all away from you.…",other
191,Tunisians and Libyans share the same thoughts and people here make you feel like there are no borders.… https://t.co/wuCDfScZba,other
192,@SDG2030 hi there! can you follow us back so we can DM you? thanks!,other
193,“I really miss the soft sand from back home and sitting in peace with my family and friends. Syria will always be m… https://t.co/JkYk5Pr4Eq,other
194,It's been tough for someone like me who is from Africa to come to a championship club  said Sesay who was spotted… https://t.co/t3pltuPT8n,other
195,RT @MigrantApp: As migrants  we are looking for a better future for ourselves &amp; for our loved ones. @UNmigration  wants you to be safe on y…,other
196,RT @IOMGREECE: #iamamigrant #iReturn,other
197,"Omar from #Iraq: ""Being safe and finding a job were my top priorities...Somehow  I knew that my future…",other
198,"RT @GMA: Guillermo del Toro: ""I am an immigrant...The greatest thing our art does and our industry does is to erase the lines in the sand.…",other
199,"I pray with the others for peace in #Libya. It’s my second home  and it offered me its best back in the day.”… https://t.co/Mc401EdEuE
When the nation was good  I enjoyed it. Now that things are up and down  I have to stand by the people.""… https://t.co/lxDXHYOLGJ",other
200,I owe my children’s education  my house back home and my job experience to #Libya. https://t.co/0pa5yo1Tva https://t.co/tjp9mWiAPa,other
201,RT @GFMDprocess: As #migration expands globally  there's a great need to provide opportunities to migrate in a safe  orderly &amp; regular mann…,other
202,"RT @MigrantApp: Like Ben  we also want our stories to be heard. With the ""I Am A Migrant"" portal in #MigApp  we aim for #migrants to speak…",other
203,A lot is happening outside  but what never changes is how kind people can to you. https://t.co/LXJFpQZCdh https://t.co/4jLdYrHRBV,other
204,The thing I miss about being away from India is my #children  I can go for months without seeing them.… https://t.co/ba7PU0EPhJ,other
205,“If I didn’t move to #France 10 years ago  I would be an entirely different person. Moving abroad does change a lot… https://t.co/ueRRAEZwnf,other
206,The countries I lived in have become an inseparable part of me. https://t.co/jIMRkNbAnV https://t.co/mkxVUibTiQ,other
207,"When I look back at the many challenges I faced as a #refugee  I realize that the rough journey was worth to achie… https://t.co/8ukxxRwSWO
“I am used to travelling all the time and I love it. It is easy and fun to make new friends all over the world.… https://t.co/0FmQlr2xfS",other
208,There came a point where I needed my own #freedom. https://t.co/HWBcI29RzT https://t.co/TCCjIQHlOM,other
209,A lot is happening outside  but what never changes is how kind people can be to you. -Liliana  from Romania to… https://t.co/L1mqrGqEgu,other
210,"I did what I had to do  I bought a house  gave my #children a good education. Now it’s time for me.”… https://t.co/TBKfRHu6qo
I owe my children’s education  my house back home and my job experience to #Libya."" -Anita from the Philippines  l… https://t.co/Baa6q6aoQo",other
211,No one chooses to leave their country  but circumstance sometimes makes its own rules. -Abdalwahab a Sudanese doc… https://t.co/lLHzLeFGXf,other
212,If you look back  you can’t see your future. https://t.co/P6PRSBzLVd #ForMigration https://t.co/IKi6iGoKOM,other
213,"Meeting people with diverse mindsets has helped me to appreciate the ways someone with a different background can… https://t.co/XgFIPJeO9c
No one chooses to leave their country  but circumstance sometimes makes its own rules."" https://t.co/YprPECDfkS https://t.co/7cCqmEBrbx",other
214,"I never felt like a foreigner in any country. In all countries people have welcomed me with big love.”… https://t.co/aSk26ZF6wt
It was 4 AM when the smugglers loaded 300 people onto the boat. Many fell into the water - the smugglers called it… https://t.co/sTZMypglue",other
215,“If I didn’t move to #France 10 years ago  I would be an entirely different person. Moving abroad does change a lot… https://t.co/IcKqBrq5zW,other
216,The countries I lived in have become an inseparable part of me. https://t.co/jIMRkNbAnV https://t.co/FJxAnvZybE,other
217,For any journey  solidarity is key. ,other
218,"Moving was easier than I thought because we had the support of many people wh… https://t.co/r9g9FXfla2
When I look back at the many challenges I faced as a #refugee  I realize that the rough journey was worth to achie… https://t.co/hgA6dgJGuR",other
219,So inspiring! ,other
220,"I lived in the refugee camp for nearly 20 years. I finished school in the camp and later completed… https://t.co/e9YK3BTHvC
“I am used to travelling all the time and I love it. It is easy and fun to make new friends all over the world.… https://t.co/Gb63tA6Ei3",other
221,RT @MigrantApp: How can #MigApp help migrants around the world?,other
222,Let us count the ways! ,other
223,Like and Share to EMPOWER  CONNECT and ENGAGE migr…,other
224,"Helping elderly people here makes me think that my mum will be helped by others. It’s really hard to be away from… https://t.co/xcjOLHkW9J
If you look back  you can’t see your future."" https://t.co/P6PRSBzLVd #ForMigration https://t.co/gbkVqa8BTD",other
225,I am proud to have achieved successful outcomes throughout my struggle for a better life. -Abann… https://t.co/ZXpQoWetMn,other
226,"Meeting other migrant women from different countries was a blessing. They have given so much to me and I am always… https://t.co/otFdH6UJy7
“I have seen with my own eyes what Boko Haram is capable of. It’s not easy to fix what they have destroyed.” -Omar… https://t.co/UuwoqoZED1
When you're abroad  people mistreat you and only give you the jobs they don’t want to do themselves."" -Mary… https://t.co/gWzUUGdIdP",other
227,"RT @Pluralplus: Congratulations to ""We are Human"" for winning the PLURAL+ 2017 I am a Migrant Award! African Immigrant youth  living in Sou…",other
228,RT @IOMGREECE: #iamamigrant #iReturn Tea &amp; Irma spent almost 10 years in Greece  before returning to their home country #Georgia  with the…,other
229,@frankdibs @IOMatEU @UNmigration @IOMBeLux @UNinBrussels Hi Frank  thanks for sharing your great thoughts with us.… https://t.co/aDg2tXBrHc,other
230,@clipper965 @IOMatEU @UNmigration @IOMBeLux @UNinBrussels well  it's indeed impossible but it's also actually not t… https://t.co/JxAz2Iy4JH,other
231,"RT @IOMatEU: ""Migration will always be a beautiful thing if we invest in it."" ",other
232,- Youssef  a Moroccan living in Belgium,other
233,His take: https:/…,other
234,I packed 20 years of life in two pieces of luggage  and headed towards my new station. -Qaiser… https://t.co/7BEHMXmeIE,other
235,"I'm continuously improving my skills and holding on to hope for the future. I still hope that I can have a better… https://t.co/OCu5uq6DYd
RT @IOMGREECE: #MigrantRefugeePhotoStory #iamamigrant “Greek is easy to learn!”  says 10y/o Younes from #Iraq  who is going to school thank…
RT @nonprofit_cat: I am a migrant""  the platform where migrant personal stories are shared https://t.co/GfkCVvYyIk @iamamigrant #iamamigra…",other
236,RT @OIM_Niger: “As a woman  some of these stories often stay with me even after working hours. It helps when I see the women at the transit…,other
237,“I have seen with my own eyes what Boko Haram is capable of. It’s not easy to fix what they have destroyed.” -Omar… https://t.co/WZCVqaPI4D,other
238,RT @DaviesNow: i am a migrant promotes diversity &amp; inclusion of migrants in society  telling personal stories of people on the move. Our @A…,other
239,These beautiful images push us to reconsider preconceived notions of what it means to be African in the West. 📷VanW… https://t.co/XIcxwKCnnf,other
