,Tweets,tag
68,If you’re considering #studyabroad  here are some tips to help navigate the process https://t.co/g6QoJFj2SI https://t.co/qTM774v18Y,student
69,Does your #resume need something extra? How about #interning #abroad! You don’t have to give up your #global… https://t.co/Pek9RXefzx,student
70,One of the greatest ways to explore a community is to be of service to it. Through #volunteer in #India abroad prog… https://t.co/U3sBFHBy5s,student
71,Looking to #studyabroad? From Melbourne to Munich  these are the world's most student-friendly cities of 2018… https://t.co/eTT2zHBKgx,student
72,Selecting a #studyabroad can be difficult because there are so many wonderful and exciting programs from which to c… https://t.co/G21LyI08T4,student
73,From overcoming #language struggles in #Peru to learning about US #culture in #Japan  here's 11 #StudyAbroad Storie… https://t.co/1r33G1TQOe,student
74,If you want to see the world and learn more about #Asian #culture  you should consider teaching #English abroad in… https://t.co/YmLluZiHqO,student
75,The number one concern I hear from students’ parents has to be “What about safety?” This question is common when st… https://t.co/S3KWQQyPwg,student
76,How Living #Abroad Helps You Develop a Clearer Sense of Self https://t.co/JTUi0b8COf #Travel #traveling https://t.co/jeB1VB3uih,student
77,#Studyabroad in #Greece is more than just classes. It’s a chance to grow as a person as well! You could engage with… https://t.co/zJcrGKMJQK,student
78,For students who seek the opportunity to develop their teaching skills while experiencing another #culture in an im… https://t.co/TKZ9r2wISC,student
79,Get started with the #studyabroad process. Learn about choosing a location and program as well as applying and how… https://t.co/jsdGLwUeF1,student
80,We asked students about their craziest study abroad stories https://t.co/cLIghZKNGy,student
81,Why should you consider an #internship abroad? An internship #abroad offers opportunity to develop professional kno… https://t.co/UvmtGfvDca,student
82,12 Of The Best Places To #StudyAbroad https://t.co/MSUiv7nxkY https://t.co/tj4WtP0oX1,student
83,Students who wish to learn English in a vibrant  friendly country might discover that a language immersion in Irela… https://t.co/cJJcTNkgux,student
84,"Take it from me  adjusting back to life after studying abroad requires a conscious effort in order to positively r… https://t.co/yXqyIs5p4X
10 Best Places To #StudyAbroad For Students Who Love To #Travel @hostelworld https://t.co/cKiV8GyniA https://t.co/1UuAmLwLoD
RT @TravelWireAsia: Gold  red  purple and orange illuminate Asian forests in autumn. Here's where to admire it. #Kyoto #Vietnam #ecotourism…
RT @ECAatState: Do you like #skateboarding? Malaysia was chosen as one of the first countries for the @statedept's inaugural Skateboarding…
RT @TheSOGuide: There are a variety of #StudyAbroad options and alternatives that offer students value  while also… https://t.co/GXakWFnANZ
A Chinese woman who studied in the US shares 4 tips for international success https://t.co/gXUv3sLzyk #studyabroad https://t.co/2zap5Xi4sz
One of the many things discovered through #travel and #studyabroad. Wonderful dish. Try it if you ever get the chan… https://t.co/qneI7g1N3A
RT @TravelWireAsia: Discover what these country's names literally mean. We think you'll be pleasantly surprised. #Globalization #Maps https…
RT @uiowa: After 5-year-old Garrett Matthias was diagnosed with a treatment-resistant cancer  @UIchildrens helped m… https://t.co/UbSRT2DVXS
RT @Unigo: Check out our brand new fb page! It's still got that new car smell ;-)
Make sure to tell all your friends so they can get the la…
RT @TopUnis: What Australian city is the perfect study spot for you? https://t.co/aiXYqEm7W3
RT @Study_INTNL: Opinion - why students should put their independent growth before their employable skills | @louisa_kendal discusses #grad…
RT @BarnetteJason: Mark Twain knew a thing or two about #travel so take it from him: stop vegetating and get out there people. There's a wh…
RT @mappingmegan: Tips for Taking Great Instagram Travel Snaps https://t.co/f51GSq5jf7 https://t.co/sJJMGzqHYA
RT @TheSOGuide: For some international students applying to US universities  TOEFL scores can be a big factor in the admissions process. Re…
The wonderful life-changing benefits of #studyabroad.

10. You may become stronger  more confident  and more certai… https://t.co/HWeuCUV7BM
How institutions can continue to attract international students https://t.co/Jg3ZOc6UXz https://t.co/RdatsgTQeq
RT @GapYearExperts: Where will you find yourself on your #gapyear? Take our quiz to find out... https://t.co/vkqgdAxuE6 https://t.co/VXZnjs…
RT @TheSOGuide: A great list of things to consider when choosing a #studyabroad program! from @StudyingAbroad. https://t.co/1BMPvS6wzo
Expectation: Most of the students studying in your program will know each other already.

What's It REALLY Like to… https://t.co/fR0KxAPD6F
I completely fell in love with #France from day one  but being a foreigner in any country takes some getting used… https://t.co/CiMS1Tl9WR",student
85,41 Tips For Studying Abroad In #Florence https://t.co/HqQCwmeOey #Italy https://t.co/xjucrVU5gW,student
86,Great  inspiring story about a student describing her year abroad in #China https://t.co/B7gm87EMLy #studyabroad… https://t.co/pGOz9EDvkl,student
87,RT @Unigo: Love poetry? Wanna win $1 000 for #college? Thought so. Tell Power Poetry #Scholarship Slam in a #poem about what #poetry has ta…,student
88,Diverse nightlife  hearty meals and distinctive arts  see what else you'll experience from #studyabroad in #Germany… https://t.co/Ev5pqExcPA,student
89,A #Chinese language immersion program in #China could give an educational and unique cultural experience. Learn mor… https://t.co/nG1J7c6ajX,student
90,@Japan_Center Exactly :),student
91,RT @TheSOGuide: There are a variety of #StudyAbroad options and alternatives that offer students value  while also providing a quality educ…,student
92,We laid out how you can #intern in one of the most beautiful countries in the world  #France. #education… https://t.co/vHytCWaSDi,student
93,#Highschool abroad programs provide life experience  enhanced perspective  language skills and  personal developmen… https://t.co/7VjQkbcWYa,student
94,#Italy #art courses are a great way for creative students to hone their craft under tutelage of skilled professors… https://t.co/2F7SctLikv,student
95,You only get a few months abroad - make the most of them!,student
96,Making the Most of a #Summer #StudyAbroad… https://t.co/EM88kSelGr,student
97,Students who wish to learn English in a vibrant  friendly country might discover that a language immersion in Irela… https://t.co/NFojbGQHyg,student
98,Caring for Your #MentalHealth While Studying Abroad Should https://t.co/0rswrNyHf1 #studyabroad https://t.co/eX83TpTz8L,student
99,Studying abroad costs life savings - myths busted https://t.co/62uUZAHoAp https://t.co/Bd3KWKK2xt,student
100,The wonderful life-changing benefits of #studyabroad.,student
101,10. You may become stronger  more confident  and more certai… https://t.co/UiJO4rpSPg,student
102,"RT @oneworld365: ""I always wonder why birds stay in the same place when they can fly anywhere on the earth. Then I ask myself the same ques…",student
103,RT @ISAabroad: 30 Words Every Traveler Should Know #travel #studyabroad #wanderlust https://t.co/kxDe5n1qkW,student
104,Why I chose the program I did. Two perspectives on the decision making process,student
105, https://t.co/VT169vxQc7… https://t.co/TmAzSeFeGT,student
106,If the idea of learning an ancient #language that is still spoken today by over a billion people appeals to you  wh… https://t.co/rYjwNJ7fQF,student
107,RT @TheAtlantic: U.S. universities have a duty to serve American students with a premier education  but college presidents say global diver…,student
108,A #gapyear abroad is typically a one-year break taken by students either before or immediately after going to… https://t.co/HroCde80wV,student
109,RT @EnjoyNature: Flowers Mountains Sunrise at Odda in Hordaland county of Hardanger #Norway,student
110,#Travel #Photo #Nature #Sunrise #TravelTuesday…,student
111,RT @rushmypassport: Traveling on a budget? Learn how to make saving money into a win-win situation with professional budget travel tips tha…,student
112,RT @aifsabroad: Develop your professional skillset and make career connections by pursuing an internship abroad like Peter. → https://t.co/…,student
113,RT @ISAabroad: Check out the world's 10 best airports. #travel https://t.co/ndyM54PoZZ,student
114,Here is how YOU can #studyabroad in #switzerland! #education https://t.co/KBqPaB41BD https://t.co/BqvaBUV0s6,student
115,When you teach English abroad  you could have the opportunity to develop your teaching experience as well as your s… https://t.co/jrirOgUZwk,student
116,Internships in #Germany may provide an excellent opportunity for students to develop German language abilities  exp… https://t.co/uA15vloIwk,student
117,Rewarding #Careers for #Extroverts https://t.co/Pk8VRNNjj2,student
118,Five countries that set world culture https://t.co/HkhIwTpc3u,student
119,RT @Unigo: High school grads want job skills next  survey shows https://t.co/fMoo0GwDTE https://t.co/sxrP2GYRV0,student
120,RT @SmarterTravel: Hate crowds? Visit one of Europe's 10 least-visited countries: https://t.co/huswMmnH8k https://t.co/crn9EmCkJv,student
121,RT @StudyAbroadAPTS: How to get involved with the locals https://t.co/hsGqldMbKw,student
122,RT @rushmypassport: Who's ready to go exploring this summer?  #travel #ttot https://t.co/L2tpNCSiTj,student
123,"RT @StudyAbroadUSAC: ""My favorite part was having the opportunity to immerse myself in different cultures  from learning how people cook th…",student
124,"Take it from me  adjusting back to life after studying abroad requires a conscious effort in order to positively r… https://t.co/Fjz1CKe4Dr
From its food to its art  #France is one of those destinations that lives up to its reputation. For #studyabroad  t… https://t.co/1sQPUyufQz
A Chinese woman who studied in the US shares 4 tips for international success https://t.co/gXUv3sLzyk #studyabroad https://t.co/DnL5okryvU
A student or recent graduate who has the opportunity to secure an internship in England might have the competitive… https://t.co/UXmURAsaXn
A #gapyear abroad is typically a one-year break taken by students either before or immediately after going to… https://t.co/ikqtSdVJJq
As the workplace becomes more global — and more emphasis is placed on intercultural communication — setting yoursel… https://t.co/9PydYDmwRm
#Studyabroad in #Greece is more than just classes. It’s a chance to grow as a person as well! You could engage with… https://t.co/Q6kutDg8Y2
Where to #studyabroad if you’ve caught the travel bug https://t.co/vkXcb4VMfT https://t.co/3jP42WHovA
The countries of #SouthAmerica offer a dynamic #culture rich with distinct architecture  #cuisine  and dance. With… https://t.co/RLFDk99ObG
Looking to #studyabroad? From Melbourne to Munich  these are the world's most student-friendly cities of 2018… https://t.co/xIExyaVoDz
From its food to its art  #France is one of those destinations that lives up to its reputation. For #studyabroad  t… https://t.co/SZrEU0Q9P7
Students who wish to learn English in a vibrant  friendly country might discover that a language immersion in Irela… https://t.co/B917JBuyfa
Selecting a #studyabroad can be difficult because there are so many wonderful and exciting programs from which to c… https://t.co/6gYXMjTXlN
RT @BethFratesMD: We acquire the strength we have overcome."" Ralph Waldo Emerson",student
125,#MondayMotivation #SuccessTRAIN #JoYTrain #ThriveTogether…,student
126,RT @UUKIntl: Students who study  work or volunteer abroad get better academic and employment outcomes. Our #GoIntl toolkit has lots of asse…,student
127,RT @ISAabroad: 7 Exotic ISA Study Abroad Locations You Need to Check Out https://t.co/j7r5cpMiqr https://t.co/EhNWjnLqzD,student
128,"RT @VergeMagazine: ""Travel didn't get rid of my anxiety for good - I'll likely battle it for life - but it equipped me with coping mechanis…",student
129,RT @AsiaExchange: Do you have a hard time to decide where to #study in #Asia? Let us help you! Take our #quiz and find out what’s the best…,student
130,RT @MolJett: Shanghai constantly surprises me😍@ThatsShanghai @ThatsOnline @bellarmineU @BUSchoolofComm @ISAabroad ,student
131,#PeoplesSqaure #YellowMo…,student
132,RT @sl2016_sl: Copenhagen has beautiful gardens and parks  all of these were free!  @VisitCopenhagen #travel #Europe #NoFilter https://t.co…,student
133,RT @CampusCommons: 5 things to consider before choosing a #studyabroad destination: https://t.co/UG4FirWsvl,student
134,RT @aifsabroad: Kayla talks about getting comfortable with being out of her comfort zone. #studyabroad #aifsabroad https://t.co/1cQjo0flRo,student
135,RT @tanmoyray01: How to Get #scholarship to Study in USA https://t.co/viIjA8Hsx2,student
136,@StudyingAbroad @ISAabroad @USNewsEducation @USATODAY,student
137,International Experience Can Boost Your Career #studyabroad https://t.co/pQBuQXZssU https://t.co/HGoubMf6AQ,student
138,The wonderful life-changing benefits of #studyabroad.,student
139,10. You may become stronger  more confident  and more certai… https://t.co/JGx8GKj7MP,student
140,RT @LFA_national: How many college students  especially returnees  need help budgeting? Read this article by First Republic! #moneymoneymon…,student
141,RT @EnjoyNature: Amazing Mediterranean Sea and Greek Sunset at Santorini #Greece,student
142,#Travel #Photo #Nature #Weather #Sunset #Holidays #Vacati…,student
143,RT @ISAabroad: 10 Instagram-Worthy Picnic Spots From Around the World You Need to Visit When You Study Abroad https://t.co/HCVQrfXqx2 https…,student
144,RT @Safe_H_Travel: The most frequently asked question I get... How lonely are you when you Travel Solo? I can assure you that I don't get l…,student
145,RT @FAFSA: 8 things high school grads need to do before college: https://t.co/3eXA4Gprto https://t.co/4dV7CNMKO0,student
146,RT @Safe_H_Travel: Have you ever experienced the serenity of forest bathing? The @travelling_mom shares five of the best spots to get back…,student
147,RT @ISAabroad: 5 Ways Travel Makes You Smarter: #travelbecause #studyabroad #isaabroad https://t.co/SEdXqG5vIi,student
148,RT @BackinBig10: for any #college students looking to #studyabroad @ManchesterUniv rising senior volleyball student-athlete Kaitlin Mindiol…,student
149,RT @CampusCommons: Here's what college costs in 28 countries around the world: https://t.co/VyYO7udIvo #studyabroad #degreeabroad https://t…,student
150,RT @StudyAbroadUSAC: If you're interested in heading to #England for study abroad  consider the quirky English town of #Brighton. Once you…,student
151,When you teach English abroad  you could have the opportunity to develop your teaching experience as well as your s… https://t.co/Wo8583HUf8,student
152,We laid out how you can #intern in one of the most beautiful countries in the world  #France. #education… https://t.co/vCahRHhfD2,student
153,Learn about the Benefits of Teaching English Abroad in South #Korea! https://t.co/apUTr9Niri #studyabroad… https://t.co/EDPZas2Gcq,student
154,36 Hours in Shanghai ,student
155,https://t.co/2EC1ANt19R,student
156,#China #Travel https://t.co/oYbTal9F3k,student
157,RT @scholarshipguru: The sooner you learn and begin practicing healthy financial management skills  the better your chances of future #succ…,student
158,Here is how YOU can #studyabroad in #switzerland! #education https://t.co/KBqPaBlCtb https://t.co/cuMsY8kQ8k,student
159,#StudyAbroad is all about perspective. You have to leave your American customs at the door  and get ready to embrac… https://t.co/yydmhPxpNf,student
160,36 Hours in Bangkok  #Thailand ,student
161,https://t.co/ZtAntsqNpU,student
162,#Travel #StudyAbroad #guides https://t.co/eY8YxHT5HL,student
163,The 10 pros and cons all students should consider when thinking about #studyabroad. Do the advantages outweigh the… https://t.co/Wj3dpt8m1J,student
164,7) Boost your self-confidence and gain independence.,student
165,7 Decisive Reasons to #StudyAbroad Why You Won't Regret It… https://t.co/InugLdTMm3,student
166,These 13 errors are totally common and very avoidable. Take our advice  and you’ll have the best semester (or year)… https://t.co/VmZlPa9zUA,student
167,Internships in #Germany may provide an excellent opportunity for students to develop German language abilities  exp… https://t.co/ASkxHwWCgI,student
168,Once you've readjusted to the time zone and fought off the lingering effects of jetlag  you will likely be eager to… https://t.co/lGExbTf2J8,student
169,The number one concern I hear from students’ parents has to be “What about safety?” This question is common when st… https://t.co/095NGpvaNR,student
170,The odd philosophy Icelanders live by https://t.co/D9GmwPMCLi,student
171,RT @IAUwinestudies: Been feeling a bit off since returning from abroad? It's probably due to the ever-so-common re-entry shock! Read all ab…,student
172,Here’s How To Take Care Of Your #MentalHealth While Studying Abroad,student
173, https://t.co/0rswrNyHf1 #studyabroad https://t.co/BlVGudPdOv,student
174,The countries of #SouthAmerica offer a dynamic #culture rich with distinct architecture  #cuisine  and dance. With… https://t.co/6uhnWDRwTT,student
175,Top 5 must’s before you #studyabroad https://t.co/CwvYUZxjlt https://t.co/jef354gRgA,student
176,RT @TravelingChilli: Check out this article: 16 Amazing Hiking Trails in New Zealand’s North Island and South Island - https://t.co/zbheofd…,student
177,RT @sage_corps: SageCorps helps you get a unique and valuable work experience abroad. Forbes Councils member India Martin wants to tell you…,student
178,RT @ISAabroad: 4 must-visit locations in Greece: https://t.co/yA5naJmwpn https://t.co/yA5naJmwpn,student
179,RT @aifsabroad: Make the most of this once-in-a-lifetime experience. #studyabroad #aifsabroad #video https://t.co/mGxAndyCn1 https://t.co/O…,student
180,The 10 pros and cons all students should consider when thinking about #studyabroad. Do the advantages outweigh the… https://t.co/WlRs8qdqc3,student
181,#Studyabroad in #Greece is more than just classes. It’s a chance to grow as a person as well! You could engage with… https://t.co/EilvxzJvPY,student
182,The whole city of #HongKong is almost like a gigantic but living  breathing organism...a multitude of separate part… https://t.co/JRJT9FMnXZ,student
183,Where to #studyabroad if you’ve caught the travel bug https://t.co/vkXcb4VMfT https://t.co/7vNzAsJF2i,student
184,Following these simple tips can help ensure that you have the best possible international #studyabroad experience … https://t.co/Z8GIOsWXe3,student
185,36 Hours in Gothenburg  #Sweden ,student
186,https://t.co/81t5MRgTmc,student
187,#Travel https://t.co/Ybt1B9jZoT,student
188,What makes #Germany so desirable for international students in #Europe? https://t.co/q8VPs8PgjD #studyabroad https://t.co/8E6Zu4xtqp,student
189,"Take it from me  adjusting back to life after studying abroad requires a conscious effort in order to positively r… https://t.co/C69EvvAGKn
London #studyabroad programs enable you to partake in a city that values intellectualism as much as it does culture… https://t.co/bSc4NkovCL
RT @HeySuccess: How to deal with feelings of anxiety when you leave your home country for the first time https://t.co/PHB36egeQs #studyabro…
RT @HeySuccess: Plan  plan  plan.

#studyabroad https://t.co/1a30YckraQ
RT @TheSOGuide: A great guide to help parent's manage the cost of #StudyAbroad. From @StudyAbroad101 . https://t.co/JLDPMKftQY
RT @TheSOGuide: Managing your money while #studyingabroad can seem daunting. We've compiled a list of tips to help you avoid any financial…
RT @nshss: Considering taking a #gapyear but still haven’t made up your mind?🤔 Here are a few things to consider before you take the plunge…
RT @TheSOGuide: A list of 8 countries where international students are encouraged to work during #StudyAbroad! 

https://t.co/u0V2Se7b5J ht…
RT @TheSOGuide: Interested in studying abroad? We've compiled a list of 10 reasons why you should consider pursuing a #Bachelor's  #Master'…
RT @CultureTrip: Go off the beaten track in Switzerland with @Media_STS. @MySwitzerlandUK #ad https://t.co/TprxVvIIAa https://t.co/bpB2j1dC…
RT @TheSOGuide: Read on to learn more about the benefits of #studyabroad  from @StudyingAbroad. https://t.co/XklFE7OHbM
RT @BudgetTravel: How to survive your worst travel nightmares https://t.co/F89t22ZHih
3. How To Truly Be Adventurous. https://t.co/SIh9pYK91t
Integrating #studyabroad into your home life https://t.co/en1FehcO42 https://t.co/joJSD6nUqc
Benefits of interning abroad  straight from the students' mouths
 https://t.co/abhcVQqRMk #studyabroad #internship… https://t.co/kWc6sqq8cK
RT @DoraFarkasPhD: 5 Myths That Push Students to Drop Out of Grad School - Finish Your Thesis https://t.co/BJBuN5KHe6
While studying abroad can make it easy to feel overwhelmed  figuring out a few key points beforehand can help quell… https://t.co/Zn1Ua8EJHh
Why I chose the program I did."" Two perspectives on the decision making process",student
190, https://t.co/VT169vxQc7… https://t.co/JZJ4rP75S7,student
191,The wonderful life-changing benefits of #studyabroad.,student
192,10. You may become stronger  more confident  and more certai… https://t.co/J0u2RegTAE,student
193,Top 10 Reasons to Study in #Paris. #France #studyabroad,student
194,6. Paris’ atmosphere is as rich as its delicious food.… https://t.co/j7yJGmNTM1,student
195,#Volunteer abroad programs could be a great opportunity to gain unique  hands-on work experience  while meeting lik… https://t.co/IROMAoc1R8,student
196,If the idea of learning an ancient #language that is still spoken today by over a billion people  why not consider… https://t.co/mPEno0E94h,student
197,RT @IFSAStudyAbroad: #WednesdayWisdom from the late Anthony Bourdain https://t.co/XSpjKWKjJ5,student
198,If you are interested in a wide-ranged program that might help you gain proficiency or even fluency in #Italian  th… https://t.co/RWT5dpmGnO,student
199,#StudyAbroad: 5 Asian Countries For Higher Education ,student
200,https://t.co/1KhIFp3lBi,student
201,#HigherEducation #HigherEd https://t.co/dQG6jkdjZL,student
202,36 Hours in Gothenburg  #Sweden ,student
203,https://t.co/81t5MRgTmc,student
204,#Travel https://t.co/xfjY9Dj2VC,student
205,Tasting local #cuisine is an exciting part of international travel! Here's some #studyabroad tips to cultural eatin… https://t.co/pMpiSkkdmj,student
206,Top 5 must’s before you #studyabroad https://t.co/CwvYUZxjlt https://t.co/NuTqiSOibE,student
207,The countries of #SouthAmerica offer a dynamic #culture rich with distinct architecture  #cuisine  and dance. With… https://t.co/y3JXu2tP07,student
208,7 Reasons to Love #StudyAbroad in #London https://t.co/L1L2S44ohA https://t.co/upufRwzpXs,student
209,RT @TheSOGuide: A great read! Read on to learn the 5 causes of stress for international students  and how you can manage them! from @Study_…,student
210,RT @TheSOGuide: Some great budget boosting tips from @Study_INTNL. https://t.co/mHI0yu89yC,student
211,RT @QuestExch: Yes  it's worth it! ✈️✈️,student
212,17 Reasons to Study Abroad That are Straight-Up “Yes or No” - https://t.co/aNt0AWkYFM,student
213,RT @CultureTrip: Want to discover Europe this summer? This awesome map shows you how to get all the way from England to Italy and everywher…,student
214,RT @CultureTrip: John Steinbeck once wrote of Positano  Italy: ‘a dream place that isn’t quite real when you are there and becomes beckonin…,student
215,RT @studyinbelize: #MondayMotivation Step out of your comfort zone and #makeadifference. #studyabroad #goabroad #socialchange #socialimpact…,student
216,RT @Unigo: DEADLINE: June 30th. @slumbersearch believes deeply in the value of education and to giving back to the next generation. To help…,student
217,London #studyabroad programs enable you to partake in a city that values intellectualism as much as it does culture… https://t.co/OylaWZKYYM,student
218,RT @ISAabroad: London is still #1 on the list  but Tokyo is a close second! #DiscoverTokyo #studyabroad #beststudentcities https://t.co/SQA…,student
219,RT @aifsabroad: Though its history and landmarks are familiar to us from books and movies  there's no substitute for standing in front of t…,student
